,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,full_names,Ace%,DF%,BP_saved%,Ace_against%,BP_won%,Return_won%,Points_dominance,Serve_rating,Game_time
0,100431,Mansour,Bahrami,R,19560426.0,IRI,178.0,Q564631,Mansour Bahrami,5.3,2.6,55.0,5.2,41.7,35.1,0.81,289.0,3.62
1,100581,John,McEnroe,L,19590216.0,USA,180.0,Q16474,John Mcenroe,6.8,5.1,62.4,6.5,41.8,39.4,1.11,328.0,4.63
2,100644,Alexander,Zverev,R,19970420.0,GER,198.0,Q13990552,Alexander Zverev,10.6,5.1,60.6,5.6,41.6,38.3,1.12,338.0,4.21
3,100757,Anders,Jarryd,R,19610713.0,SWE,180.0,Q455136,Anders Jarryd,4.9,5.1,56.0,5.3,42.2,39.2,1.03,307.0,3.96
4,100819,Daniel,Montes De Oca,R,19620426.0,URU,170.0,Q107986458,Daniel Montes De Oca,35.6,9.1,,35.6,,,1.0,,
5,101022,Kelly,Jones,R,19640331.0,USA,185.0,Q1521308,Kelly Jones,3.6,3.7,60.7,6.9,34.6,35.7,0.86,307.0,3.22
6,101026,Jim,Grabb,R,19640414.0,USA,193.0,Q112821,Jim Grabb,8.0,4.4,61.4,4.3,36.4,35.6,0.97,329.0,4.19
7,101097,Rick,Leach,L,19641228.0,USA,188.0,Q715130,Rick Leach,5.6,3.1,58.5,5.9,28.4,32.4,0.8,308.0,4.35
8,101098,Guy,Forget,L,19650104.0,FRA,190.0,Q560175,Guy Forget,10.7,2.8,63.9,7.8,38.4,36.2,1.09,343.0,3.82
9,101138,Pat,Cash,R,19650527.0,AUS,183.0,Q298644,Pat Cash,6.8,4.6,61.0,4.5,37.9,35.0,0.91,317.0,4.37
10,101150,Gianluca,Pozzi,L,19650617.0,ITA,180.0,Q959217,Gianluca Pozzi,5.1,3.5,57.4,5.2,39.7,38.1,0.95,299.0,4.05
11,101180,Jose,Clavet,R,19650911.0,ESP,180.0,Q387438,Jose Clavet,45.3,39.1,,45.3,,,6.0,,
12,101185,Mark,Woodforde,L,19650923.0,AUS,188.0,Q360630,Mark Woodforde,5.8,4.4,61.7,7.1,39.4,38.7,1.02,318.0,3.96
13,101191,Richey,Reneberg,R,19651005.0,USA,180.0,Q730444,Richey Reneberg,5.9,3.3,58.9,8.7,40.9,39.2,1.04,316.0,3.73
14,101231,Ryan,Blake,R,19660204.0,USA,,Q47487888,Ryan Blake,3.7,1.2,45.5,4.2,25.0,0.0,0.52,260.0,0.0
15,101235,Paul,Haarhuis,R,19660219.0,NED,188.0,Q29441,Paul Haarhuis,5.7,2.8,60.6,5.7,42.0,37.9,1.0,320.0,3.84
16,101249,Andrei,Olhovskiy,R,19660415.0,RUS,185.0,Q502583,Andrei Olhovskiy,9.3,5.2,60.1,7.5,36.5,36.1,0.97,321.0,3.39
17,101263,Luke,Jensen,A,19660618.0,USA,190.0,Q1365348,Luke Jensen,6.0,5.6,58.8,8.7,35.3,32.7,0.8,303.0,3.58
18,101308,Neil,Broad,R,19661120.0,GBR,190.0,Q1721245,Neil Broad,2.7,15.0,30.8,9.0,17.6,38.2,0.78,218.0,4.39
19,101320,Magnus,Gustafsson,R,19670103.0,SWE,185.0,Q737996,Magnus Gustafsson,3.7,4.6,59.9,5.2,43.2,41.4,1.08,318.0,3.96
20,101327,Cyril,Suk,R,19670129.0,CZE,180.0,Q539768,Cyril Suk,0.5,4.1,53.7,5.8,22.7,32.9,0.7,265.0,4.34
21,101341,Pablo,Albano,R,19670411.0,ARG,178.0,Q2045142,Pablo Albano,3.2,8.3,52.4,1.1,37.7,39.7,0.83,259.0,4.53
22,101342,Patrick,Galbraith,L,19670416.0,USA,183.0,Q962006,Patrick Galbraith,41.0,14.3,,41.0,,,0.0,,
