name1,name2,success,success_cl,rank,hand,age_dif,country,height,relatives,Ace,DF,BP_saved,Ace_against,BP_won,Return_won,Point_dominance,Serve_rating,Game_time,number
Adrian Mannarino,Benoit Paire,0.0,0,449.6428571428571,0,0.8569472963714304,1,189.5,0,8.149999999999999,4.8,59.349999999999994,6.9,40.599999999999994,37.349999999999994,0.965,314.5,4.015000000000001,7
David Marrero,Benoit Paire,0.3333333333333333,1,137.41666666666669,1,6.054300707299998,0,190.5,0,8.0,4.35,60.0,7.199999999999999,31.799999999999997,34.8,0.8899999999999999,317.0,4.27,6
Leander Paes,Benoit Paire,0.5555555555555556,2,106.36111111111111,1,7.062438208222218,0,187.0,0,7.5,5.65,58.65,5.0,38.15,36.75,0.935,310.0,3.81,18
Paul Henri Mathieu,Benoit Paire,0.18181818181818182,0,796.5909090909091,1,5.987679671463631,1,190.5,0,8.25,5.1,59.7,7.800000000000001,39.95,37.25,0.97,314.0,4.12,11
Thomaz Bellucci,Benoit Paire,0.6666666666666666,2,153.33333333333331,0,0.4517453798833344,0,192.0,0,8.8,5.15,59.25,5.2,39.3,37.5,0.97,314.0,4.015000000000001,6
Adrian Mannarino,Fabrice Martin,0.42857142857142855,1,176.7142857142857,0,1.027867409799999,1,190.5,0,7.8999999999999995,3.75,50.5,11.25,42.15,33.75,0.89,309.5,3.87,7
Jeremy Chardy,Fabrice Martin,0.6617647058823529,2,60.904411764705884,1,0.14260981599411693,1,193.0,0,9.85,4.7,52.150000000000006,11.100000000000001,40.15,33.0,0.895,315.5,3.785,68
Maximo Gonzalez,Fabrice Martin,0.7,2,29.099999999999998,1,0.94373716634,0,186.5,0,5.85,3.6500000000000004,50.95,9.8,40.95,34.35,0.845,300.0,4.085,10
Oliver Marach,Fabrice Martin,0.6323529411764706,2,42.41176470588235,1,2.2627531505411724,0,191.5,0,7.75,3.95,50.55,10.8,41.05,33.3,0.8400000000000001,301.5,4.04,68
Adrian Mannarino,Gilles Simon,0.0,0,638.5833333333334,0,3.5044490075166657,1,183.0,0,5.699999999999999,3.0999999999999996,59.65,7.8,41.9,38.3,1.01,318.5,4.335,6
Aisam Ul Haq Qureshi,Gilles Simon,0.5,1,433.0,1,2.3901437371666674,0,183.0,0,10.35,4.2,62.75,8.6,37.2,35.150000000000006,0.995,334.5,4.525,12
Edouard Roger Vasselin,Gilles Simon,0.2,0,488.25,1,0.8651608487299995,1,185.5,0,5.25,2.95,59.6,8.35,39.65,37.8,0.995,319.5,4.27,10
Fabrice Martin,Gilles Simon,0.5,1,177.66666666666666,1,0.8528405201833387,1,190.5,0,7.5,3.55,50.85,9.95,42.65,35.150000000000006,0.92,308.0,3.965,6
Florent Serra,Gilles Simon,0.26666666666666666,1,558.4,1,2.8068446269600003,1,181.5,0,4.949999999999999,2.7,59.95,8.35,40.95,38.0,0.98,316.0,4.26,15
Gael Monfils,Gilles Simon,0.13333333333333333,0,1153.5333333333333,1,1.4545288615133316,1,188.0,0,7.800000000000001,3.7,60.75,5.3,41.75,39.1,1.06,325.0,4.275,15
Jeremy Chardy,Gilles Simon,0.28125,1,326.140625,1,1.5290041067750018,1,185.5,0,7.65,4.05,61.3,7.65,39.9,37.55,1.0150000000000001,324.5,4.25,32
Nicolas Mahut,Gilles Simon,0.0,0,193.33333333333331,1,2.9322381930666666,1,186.5,0,7.4,3.5999999999999996,60.75,7.9,40.4,36.900000000000006,1.0,324.5,4.225,6
Adrian Mannarino,Lucas Pouille,0.36363636363636365,1,203.22727272727275,0,3.5977848298090898,1,184.0,0,7.45,3.85,61.2,8.8,40.349999999999994,36.2,0.975,323.5,4.09,11
Karen Khachanov,Lucas Pouille,0.3333333333333333,1,129.27777777777777,1,1.4930412959222181,0,191.5,0,9.100000000000001,3.85,63.35,7.85,39.7,36.1,1.0150000000000001,333.5,4.2,9
Agustin Calleri,Fernando Gonzalez,0.6428571428571429,2,97.75,1,1.3826146475000023,0,183.0,0,8.8,4.75,62.05,6.15,40.1,37.5,1.0550000000000002,330.5,4.140000000000001,14
Jose Acasuso,Fernando Gonzalez,0.4666666666666667,1,248.16666666666666,1,1.1871321012933365,0,186.5,0,7.949999999999999,4.35,62.0,6.85,39.75,36.95,1.025,328.0,4.1899999999999995,15
Lucas Arnold Ker,Fernando Gonzalez,0.5,1,146.25,1,2.898015058166667,0,181.5,0,5.9,5.35,61.3,5.85,42.0,37.900000000000006,0.99,316.5,4.07,6
Agustin Calleri,Gaston Etlis,0.6666666666666666,2,71.75,1,0.6205795117666675,1,184.0,0,7.75,4.4,60.4,5.4,38.95,37.3,0.99,318.0,4.035,6
David Adams,Gaston Etlis,0.4444444444444444,1,35.22222222222223,1,2.68309377138889,0,186.5,0,6.05,4.35,57.7,5.2,37.25,35.55,0.885,304.5,3.88,9
Lucas Arnold Ker,Gaston Etlis,0.4838709677419355,1,39.37096774193549,1,0.03250093837742085,1,182.5,0,4.85,5.0,59.65,5.1,40.849999999999994,37.7,0.925,304.0,3.965,31
Agustin Calleri,Juan Ignacio Chela,0.5384615384615384,2,121.61538461538461,1,1.3647133154307696,1,186.5,0,6.5,4.1,59.4,5.15,41.4,39.15,1.04,318.0,4.335000000000001,13
Guillermo Canas,Juan Ignacio Chela,0.3076923076923077,1,118.3076923076923,1,1.2187648080923097,1,187.5,0,5.2,3.75,59.15,5.0,42.4,40.15,1.0550000000000002,315.5,4.48,13
Jose Acasuso,Juan Ignacio Chela,0.42857142857142855,1,93.60714285714286,1,1.7944656302071387,1,190.0,0,5.65,3.7,59.349999999999994,5.85,41.05,38.6,1.01,315.5,4.385,14
Agustin Calleri,Juan Monaco,0.42857142857142855,1,191.5,1,4.307030409685716,1,184.0,0,6.0,3.5,58.4,5.35,41.35,39.5,1.05,320.0,4.4,7
Feliciano Lopez,Juan Monaco,0.16666666666666666,0,497.0833333333333,0,2.10130047911667,0,186.5,0,7.85,3.35,60.95,7.5,39.05,36.75,1.01,330.0,4.25,6
