name1,name2,success,success_cl,rank,hand,age_dif,country,height,relatives,Ace,DF,BP_saved,Ace_against,BP_won,Return_won,Point_dominance,Serve_rating,Game_time
Malek Jaziri,Lamine Ouahab,0.0,0,2,1,0,0,0,0,0,2,1,1,1,1,0,0,0
Reda El Amrani,Lamine Ouahab,0.0,0,2,1,1,0,0,0,1,1,1,2,1,1,0,1,1
Alex Kuznetsov,Jesse Levine,0.6666666666666666,2,2,0,2,0,0,0,1,1,1,0,1,0,0,0,1
Amer Delic,Jesse Levine,0.0,0,2,0,2,0,1,0,1,1,2,1,1,0,0,1,1
Daniel Brands,Jesse Levine,0.5,1,2,0,2,0,1,0,1,1,2,0,1,0,0,1,1
Frank Dancevic,Jesse Levine,0.0,0,2,0,2,1,0,0,1,1,2,0,1,0,0,1,1
Hugo Armando,Jesse Levine,0.3333333333333333,1,2,0,1,0,0,0,0,1,1,0,1,1,0,0,2
Justin Gimelstob,Jesse Levine,0.5,1,2,0,1,0,1,0,1,0,1,1,1,0,1,0,2
Robin Haase,Jesse Levine,0.5,1,2,0,2,0,1,0,1,1,2,1,2,0,1,1,1
Nathan Healey,Marc Kimmich,0.0,0,2,1,2,1,0,0,1,0,1,2,0,0,0,1,0
Alun Jones,Robert Smeets,0.0,0,2,0,2,1,1,0,1,1,1,1,0,0,0,0,0
Chris Guccione,Robert Smeets,0.0,0,2,1,2,1,2,0,2,1,2,0,0,0,0,1,0
Kevin Kim,Robert Smeets,0.5,1,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0
Nathan Healey,Robert Smeets,0.3333333333333333,1,2,0,2,1,1,0,2,0,2,1,0,0,0,1,0
Paul Baccanello,Robert Smeets,0.6666666666666666,2,2,0,2,1,1,0,2,0,1,0,0,0,0,1,0
Zack Fleishman,Robert Smeets,0.5,1,2,0,2,0,2,0,2,0,1,0,0,0,0,0,0
Chris Guccione,Todd Reid,0.0,0,2,0,2,1,1,0,1,2,1,0,1,1,0,2,0
Mark Philippoussis,Todd Reid,0.0,0,2,1,2,1,1,0,1,1,1,0,1,1,1,2,0
Ryan Henry,Todd Reid,0.5,1,2,1,2,1,0,0,1,2,0,1,2,2,0,1,0
Adam Peterson,Michael Sell,0.0,0,2,1,2,1,0,0,0,2,0,2,1,1,0,0,1
Brandon Coupe,Michael Sell,0.0,0,1,1,2,1,0,0,0,2,0,2,1,1,0,0,1
Mark Merklein,Michael Sell,0.0,0,2,1,2,0,1,0,1,1,0,2,1,1,0,0,1
Paul Goldstein,Michael Sell,0.5,1,2,1,2,1,0,0,0,2,0,1,2,2,1,0,1
Adam Peterson,Michael Tebbutt,0.0,0,2,0,1,0,1,0,1,1,1,2,0,0,1,1,0
Andrew Kratzmann,Michael Tebbutt,0.0,0,1,0,0,1,2,0,1,1,2,2,0,1,2,1,0
Ben Ellwood,Michael Tebbutt,0.6666666666666666,2,0,0,2,1,1,0,1,0,1,2,1,1,1,1,0
Brandon Coupe,Michael Tebbutt,0.0,0,2,0,1,0,1,0,1,1,1,2,0,0,1,1,0
David Macpherson,Michael Tebbutt,0.0,0,1,1,0,1,1,0,1,1,2,2,0,1,2,1,1
Eric Taino,Michael Tebbutt,0.0,0,0,1,1,0,1,0,2,1,1,1,0,0,1,1,1
Jonathan Stark,Michael Tebbutt,0.0,0,1,0,0,0,2,0,2,0,2,2,0,0,2,2,0
Wayne Arthurs,Michael Tebbutt,0.0,0,1,1,0,1,2,0,2,0,2,1,0,0,2,2,0
Austin Krajicek,John Patrick Smith,0.4,1,0,1,2,0,2,0,2,1,0,1,0,0,0,2,0
Chris Guccione,John Patrick Smith,0.5,1,0,1,1,1,2,0,2,2,1,1,0,0,0,2,0
Christian Garin,John Patrick Smith,0.0,0,1,0,1,0,1,0,1,2,1,2,1,1,1,2,1
Dustin Brown,John Patrick Smith,0.0,0,1,0,1,0,2,0,2,1,1,1,0,0,0,2,0
Greg Jones,John Patrick Smith,0.0,0,2,0,2,1,2,0,2,2,1,1,1,0,0,2,0
Guillermo Garcia Lopez,John Patrick Smith,0.5,1,1,0,1,0,2,0,1,1,0,2,1,1,1,1,1
John Millman,John Patrick Smith,0.5,1,2,0,0,1,1,0,1,2,0,1,1,1,1,2,1
Jonathan Marray,John Patrick Smith,0.5,1,0,0,0,0,1,0,1,1,0,2,0,0,0,2,0
Lleyton Hewitt,John Patrick Smith,0.0,0,1,0,0,1,1,0,2,1,1,1,1,1,1,2,1
Luke Saville,John Patrick Smith,0.0,0,2,0,2,1,2,0,1,1,1,2,1,0,0,1,0
Marinko Matosevic,John Patrick Smith,0.0,0,1,0,2,1,2,0,1,2,0,1,1,1,0,1,1
Mate Pavic,John Patrick Smith,0.0,0,0,1,2,0,2,0,2,2,0,2,0,0,0,1,0
Matt Reid,John Patrick Smith,0.5,1,1,0,2,1,1,0,2,1,0,1,0,0,0,1,0
Matthew Ebden,John Patrick Smith,0.0,0,1,0,0,1,2,0,2,1,0,1,1,0,0,1,0
Omar Jasika,John Patrick Smith,0.6,2,2,1,2,1,1,0,1,2,0,1,1,0,0,1,0
Paul Hanley,John Patrick Smith,0.3333333333333333,1,0,0,1,1,1,0,2,2,0,2,0,0,0,1,1
Radu Albot,John Patrick Smith,0.0,0,0,0,0,0,1,0,1,2,0,1,0,1,0,1,1
Robert Lindstedt,John Patrick Smith,0.5,1,0,0,0,0,2,0,1,2,0,1,0,0,0,1,1
Samuel Groth,John Patrick Smith,0.0,0,0,0,2,1,2,0,2,1,1,1,0,0,0,2,0
Adrian Andreev,Alexandar Lazarov,0.0,0,2,1,2,1,0,0,0,1,0,0,1,0,0,0,1
Alexander Donski,Alexandar Lazarov,0.5,1,2,1,2,0,1,0,1,0,0,1,0,0,0,0,0
Adrian Andreev,Dimitar Kuzmanov,0.0,0,2,1,2,1,0,0,0,2,1,1,2,1,1,0,2
Adrian Cruciat,Petru Alexandru Luncanu,0.0,0,2,0,2,1,0,0,1,1,1,1,0,0,0,0,2
Marius Copil,Petru Alexandru Luncanu,0.0,0,2,0,2,1,1,0,1,1,2,2,0,0,1,1,1
Victor Crivoi,Petru Alexandru Luncanu,0.0,0,2,0,1,1,0,0,0,1,1,1,0,0,0,0,2
Adrian Garcia,Alex Lopez Moron,0.0,0,1,1,1,0,0,0,0,1,0,1,2,1,0,0,1
Albert Costa,Alex Lopez Moron,0.0,0,2,1,1,1,0,0,0,1,1,2,2,2,1,1,2
Alex Calatrava,Alex Lopez Moron,0.5,1,1,1,0,1,1,0,1,1,0,1,2,1,0,1,2
Alex Corretja,Alex Lopez Moron,0.5,1,1,1,0,1,0,0,0,1,0,2,2,2,1,1,2
David Ferrer,Alex Lopez Moron,0.0,0,1,1,1,1,0,0,0,1,0,2,2,2,1,1,2
Hicham Arazi,Alex Lopez Moron,0.0,0,1,0,0,0,0,0,0,1,0,2,2,2,1,0,1
Irakli Labadze,Alex Lopez Moron,0.0,0,1,0,1,0,1,0,0,0,0,2,2,2,0,0,1
Jaroslav Levinsky,Alex Lopez Moron,0.0,0,0,1,1,0,1,0,0,1,1,2,1,2,0,0,2
Jose Acasuso,Alex Lopez Moron,0.5,1,1,1,1,0,1,0,1,1,1,2,2,2,1,1,2
Karsten Braasch,Alex Lopez Moron,0.5,1,0,0,0,0,0,0,1,1,1,2,1,1,0,1,1
Luis Horna,Alex Lopez Moron,0.0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,2
Martin Garcia,Alex Lopez Moron,0.5,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1
Nicolas Lapentti,Alex Lopez Moron,0.0,0,1,1,0,0,1,0,0,1,0,2,2,2,1,1,2
Oscar Hernandez,Alex Lopez Moron,0.0,0,1,1,1,1,0,0,0,1,0,2,1,1,0,0,2
Pablo Albano,Alex Lopez Moron,0.0,0,0,1,0,0,0,0,0,0,0,2,1,2,0,0,2
Younes El Aynaoui,Alex Lopez Moron,0.0,0,1,1,0,0,1,0,1,1,1,2,1,1,1,1,1
Adrian Garcia,Fabio Maggi,0.5,1,2,1,2,0,0,0,0,2,0,1,1,1,0,0,1
Adrian Garcia,Fernando Gonzalez,0.3333333333333333,1,2,1,2,1,0,0,1,1,1,1,2,1,1,1,0
Agustin Calleri,Fernando Gonzalez,0.6428571428571429,2,1,1,0,0,0,0,2,0,2,2,2,2,2,2,1
