win,name1,name2,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,BP_won,first,second,Return_won,Match_won,Point_dominance
0,Ivan Dodig,Edouard Roger Vasselin,0,1,0,0,38.8,70.85,49.5,36.2,0.4878344634145414,0.97
1,Ivan Dodig,Edouard Roger Vasselin,0,0,0,1,38.8,70.85,49.5,36.2,0.4878344634145414,0.97
0,Ivan Dodig,Edouard Roger Vasselin,0,0,0,1,38.8,70.85,49.5,36.2,0.4878344634145414,0.97
1,Benoit Paire,Edouard Roger Vasselin,0,0,0,1,38.349999999999994,71.80000000000001,47.400000000000006,36.849999999999994,0.4842882438739041,0.95
0,Benoit Paire,Edouard Roger Vasselin,0,0,0,1,38.349999999999994,71.80000000000001,47.400000000000006,36.849999999999994,0.4842882438739041,0.95
0,Nicolas Mahut,Edouard Roger Vasselin,0,0,1,0,37.65,71.25,50.0,35.0,0.4873363062325403,0.955
1,Nicolas Mahut,Edouard Roger Vasselin,0,0,1,0,37.65,71.25,50.0,35.0,0.4873363062325403,0.955
1,Nicolas Mahut,Edouard Roger Vasselin,0,0,1,0,37.65,71.25,50.0,35.0,0.4873363062325403,0.955
1,Nicolas Mahut,Edouard Roger Vasselin,0,0,1,0,37.65,71.25,50.0,35.0,0.4873363062325403,0.955
1,Nicolas Mahut,Edouard Roger Vasselin,0,0,1,0,37.65,71.25,50.0,35.0,0.4873363062325403,0.955
1,Nicolas Mahut,Edouard Roger Vasselin,0,0,1,0,37.65,71.25,50.0,35.0,0.4873363062325403,0.955
0,Rohan Bopanna,Edouard Roger Vasselin,0,0,0,1,33.5,74.35,49.85,32.25,0.48259491277396865,0.8999999999999999
1,Rohan Bopanna,Edouard Roger Vasselin,0,0,0,1,33.5,74.35,49.85,32.25,0.48259491277396865,0.8999999999999999
1,Rohan Bopanna,Edouard Roger Vasselin,0,0,0,1,33.5,74.35,49.85,32.25,0.48259491277396865,0.8999999999999999
1,Rohan Bopanna,Edouard Roger Vasselin,0,0,0,1,33.5,74.35,49.85,32.25,0.48259491277396865,0.8999999999999999
0,Rohan Bopanna,Edouard Roger Vasselin,0,0,1,0,33.5,74.35,49.85,32.25,0.48259491277396865,0.8999999999999999
1,Rohan Bopanna,Edouard Roger Vasselin,0,0,1,0,33.5,74.35,49.85,32.25,0.48259491277396865,0.8999999999999999
0,Rohan Bopanna,Edouard Roger Vasselin,0,1,0,0,33.5,74.35,49.85,32.25,0.48259491277396865,0.8999999999999999
1,Rohan Bopanna,Edouard Roger Vasselin,0,1,0,0,33.5,74.35,49.85,32.25,0.48259491277396865,0.8999999999999999
1,Rohan Bopanna,Edouard Roger Vasselin,0,1,0,0,33.5,74.35,49.85,32.25,0.48259491277396865,0.8999999999999999
1,Rohan Bopanna,Edouard Roger Vasselin,0,1,0,0,33.5,74.35,49.85,32.25,0.48259491277396865,0.8999999999999999
0,Rohan Bopanna,Edouard Roger Vasselin,0,0,0,1,33.5,74.35,49.85,32.25,0.48259491277396865,0.8999999999999999
1,Rohan Bopanna,Edouard Roger Vasselin,0,0,0,1,33.5,74.35,49.85,32.25,0.48259491277396865,0.8999999999999999
1,Rohan Bopanna,Edouard Roger Vasselin,0,0,0,1,33.5,74.35,49.85,32.25,0.48259491277396865,0.8999999999999999
0,Rohan Bopanna,Edouard Roger Vasselin,0,0,1,0,33.5,74.35,49.85,32.25,0.48259491277396865,0.8999999999999999
1,Rohan Bopanna,Edouard Roger Vasselin,0,0,1,0,33.5,74.35,49.85,32.25,0.48259491277396865,0.8999999999999999
1,Rohan Bopanna,Edouard Roger Vasselin,0,0,0,1,33.5,74.35,49.85,32.25,0.48259491277396865,0.8999999999999999
1,Rohan Bopanna,Edouard Roger Vasselin,0,0,0,1,33.5,74.35,49.85,32.25,0.48259491277396865,0.8999999999999999
0,Rohan Bopanna,Edouard Roger Vasselin,0,0,0,1,33.5,74.35,49.85,32.25,0.48259491277396865,0.8999999999999999
1,Rohan Bopanna,Edouard Roger Vasselin,0,0,1,0,33.5,74.35,49.85,32.25,0.48259491277396865,0.8999999999999999
1,Rohan Bopanna,Edouard Roger Vasselin,0,0,1,0,33.5,74.35,49.85,32.25,0.48259491277396865,0.8999999999999999
1,Rohan Bopanna,Edouard Roger Vasselin,0,0,1,0,33.5,74.35,49.85,32.25,0.48259491277396865,0.8999999999999999
1,Rohan Bopanna,Edouard Roger Vasselin,0,0,1,0,33.5,74.35,49.85,32.25,0.48259491277396865,0.8999999999999999
